"","transdisciplinaryExp.rate.","age","academicAge","familiarWithSI.response.","projectReference","projectReferenceNo","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep."
"1",6,"1","2",8,"1",NA,0,8,8,8,2,"0","0","0","0","1",2,1,0,0,0,0,0,"2","0",NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,"0","0",0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,"0",0,"0","0","0",99,99,99,99,5,10,1,0,1,0,1,1,1,1,0,0,0,1,NA,NA,NA
"2",10,"2","2",8,"1",NA,2,10,2,3,0,"0","0","0","1","0",2,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,"0","0",0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,"2",0,"0","0","0",0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA
"3",7,"2","2",1,"1",NA,NA,9,9,5,1,"0","0","0","0","0",2,2,0,0,0,1,0,"2","2",NA,NA,NA,"0",NA,0,0,1,1,1,1,1,0,0,0,"0","0",1,5,0,0,0,0,8,NA,"0",NA,NA,NA,NA,"0",0,"0","0","0",0,0,0,0,5,5,1,0,1,0,1,1,1,1,1,1,0,0,8,10,8
"4",5,"2","2",4,"1",NA,NA,10,5,0,0,"0","0","0","0","0",2,0,0,0,1,1,1,"2",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,1,1,0,0,1,"0","0",0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,"0",0,"0","0","0",0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,NA,NA,NA
"5",7,"3","2",0,"1",NA,NA,7,7,10,0,"0","0","0","1","0",1,0,0,0,0,0,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,"0","0",5,0,0,0,0,0,10,"0",NA,NA,NA,NA,NA,"0",0,"0","0","0",99,99,99,99,99,7,1,0,0,0,0,0,1,1,0,0,0,1,99,99,99
"6",4,"1","0",5,"1",NA,4,8,9,3,1,"0","0","0","1","0",1,0,0,1,0,1,1,"2",NA,NA,"2",NA,"1","0",NA,NA,1,NA,NA,1,NA,1,0,0,"1","1",2,0,3,4,0,2,7,NA,NA,"1","3",NA,NA,"0",1,"0","0","0",NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,0,NA,NA,1,0,7,6,6
"7",7,"2","2",5,"1",NA,2,2,2,2,1,"0","0","0","1","0",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,0,0,0,"0","0",2,2,1,1,1,1,8,NA,NA,NA,NA,NA,NA,"0",0,"0","0","0",0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,NA,NA,NA
"8",10,"3","2",0,"1",NA,NA,10,10,0,0,"0","0","0","0","0",2,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,"0","0",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,"0","0","0",0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
"9",NA,"2","2",4,"1",NA,NA,4,4,10,1,"0","0","0","1","0",1,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,0,0,0,"0","0",4,5,2,4,1,1,6,"1","1",NA,"1",NA,NA,"2",0,"0","0","0",5,2,1,2,7,4,1,0,1,0,0,0,1,0,0,0,0,0,7,4,3
"10",8,"2","2",7,"1",NA,3,10,7,7,1,"0","0","0","0","1",1,1,0,0,0,1,0,"0","0",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,"0","0",6,7,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,0,"0","0","0",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,0
